Bait gene/protein	Hit gene/protein	Bait Standard Name	Hit Standard Name	Experimental System	Source	PubMed ID
YBR236C	YOR151C	ABD1	RPB2	Affinity Capture-MS	Gavin AC et al	11805826
YBR236C	YML010W	ABD1	SPT5	Affinity Capture-MS	Gavin AC et al	11805826
YNR016C	YJR064W	ACC1	CCT5	Affinity Capture-MS	Gavin AC et al	11805826
YNR016C	YDL047W	ACC1	SIT4	Affinity Capture-MS	Gavin AC et al	11805826
YDL047W	YNR016C	SIT4	ACC1	Affinity Capture-MS	Gavin AC et al	11805826
YNR016C	YLR386W	ACC1	VAC14	Affinity Capture-MS	Gavin AC et al	11805826
YLR359W	YOR361C	ADE13	PRT1	Affinity Capture-MS	Gavin AC et al	11805826
YMR300C	YAL012W	ADE4	CYS3	Affinity Capture-MS	Gavin AC et al	11805826
YMR300C	YMR235C	ADE4	RNA1	Affinity Capture-MS	Gavin AC et al	11805826
YPR180W	YOL086C	AOS1	ADH1	Affinity Capture-MS	Gavin AC et al	11805826
YPR180W	YDR390C	AOS1	UBA2	Affinity Capture-MS	Gavin AC et al	11805826
YPR180W	YLR249W	AOS1	YEF3	Affinity Capture-MS	Gavin AC et al	11805826
YLR127C	YNL172W	APC2	APC1	Affinity Capture-MS	Gavin AC et al	11805826
YLR127C	YKL022C	APC2	CDC16	Affinity Capture-MS	Gavin AC et al	11805826
YLR127C	YHR166C	APC2	CDC23	Affinity Capture-MS	Gavin AC et al	11805826
YLR127C	YBL084C	APC2	CDC27	Affinity Capture-MS	Gavin AC et al	11805826
YBR128C	YDL185W	ATG14	TFP1	Affinity Capture-MS	Gavin AC et al	11805826
YBR128C	YPL120W	ATG14	VPS30	Affinity Capture-MS	Gavin AC et al	11805826
YKL135C	YPR029C	APL2	APL4	Affinity Capture-MS	Gavin AC et al	11805826
YKL135C	YPL259C	APL2	APM1	Affinity Capture-MS	Gavin AC et al	11805826
YKL135C	YHL019C	APL2	APM2	Affinity Capture-MS	Gavin AC et al	11805826
YKL135C	YLR170C	APL2	APS1	Affinity Capture-MS	Gavin AC et al	11805826
YKL135C	YBR084W	APL2	MIS1	Affinity Capture-MS	Gavin AC et al	11805826
YKL135C	YPR010C	APL2	RPA135	Affinity Capture-MS	Gavin AC et al	11805826
YBL037W	YJR005W	APL3	APL1	Affinity Capture-MS	Gavin AC et al	11805826
YBL037W	YOL062C	APL3	APM4	Affinity Capture-MS	Gavin AC et al	11805826
YBL037W	YJR058C	APL3	APS2	Affinity Capture-MS	Gavin AC et al	11805826
YPL195W	YGR261C	APL5	APL6	Affinity Capture-MS	Gavin AC et al	11805826
YGR261C	YPL195W	APL6	APL5	Affinity Capture-MS	Gavin AC et al	11805826
YPL195W	YBR288C	APL5	APM3	Affinity Capture-MS	Gavin AC et al	11805826
YPL195W	YJL024C	APL5	APS3	Affinity Capture-MS	Gavin AC et al	11805826
YPL195W	YGL019W	APL5	CKB1	Affinity Capture-MS	Gavin AC et al	11805826
YGR261C	YBR288C	APL6	APM3	Affinity Capture-MS	Gavin AC et al	11805826
YBR288C	YGR261C	APM3	APL6	Affinity Capture-MS	Gavin AC et al	11805826
YGR261C	YHR174W	APL6	ENO2	Affinity Capture-MS	Gavin AC et al	11805826
YIL062C	YLR370C	ARC15	ARC18	Affinity Capture-MS	Gavin AC et al	11805826
YLR370C	YIL062C	ARC18	ARC15	Affinity Capture-MS	Gavin AC et al	11805826
YIL062C	YKL013C	ARC15	ARC19	Affinity Capture-MS	Gavin AC et al	11805826
YIL062C	YNR035C	ARC15	ARC35	Affinity Capture-MS	Gavin AC et al	11805826
YNR035C	YIL062C	ARC35	ARC15	Affinity Capture-MS	Gavin AC et al	11805826
YIL062C	YJR065C	ARC15	ARP3	Affinity Capture-MS	Gavin AC et al	11805826
YJR065C	YIL062C	ARP3	ARC15	Affinity Capture-MS	Gavin AC et al	11805826
YLR370C	YKL013C	ARC18	ARC19	Affinity Capture-MS	Gavin AC et al	11805826
YLR370C	YNR035C	ARC18	ARC35	Affinity Capture-MS	Gavin AC et al	11805826
YNR035C	YLR370C	ARC35	ARC18	Affinity Capture-MS	Gavin AC et al	11805826
YLR370C	YDL029W	ARC18	ARP2	Affinity Capture-MS	Gavin AC et al	11805826
YDL029W	YLR370C	ARP2	ARC18	Affinity Capture-MS	Gavin AC et al	11805826
YLR370C	YJR065C	ARC18	ARP3	Affinity Capture-MS	Gavin AC et al	11805826
YJR065C	YLR370C	ARP3	ARC18	Affinity Capture-MS	Gavin AC et al	11805826
YLR370C	YGR240C	ARC18	PFK1	Affinity Capture-MS	Gavin AC et al	11805826
YLR370C	YOR361C	ARC18	PRT1	Affinity Capture-MS	Gavin AC et al	11805826
YNR035C	YKL013C	ARC35	ARC19	Affinity Capture-MS	Gavin AC et al	11805826
YNR035C	YBR234C	ARC35	ARC40	Affinity Capture-MS	Gavin AC et al	11805826
YBR234C	YNR035C	ARC40	ARC35	Affinity Capture-MS	Gavin AC et al	11805826
YNR035C	YDL029W	ARC35	ARP2	Affinity Capture-MS	Gavin AC et al	11805826
YDL029W	YNR035C	ARP2	ARC35	Affinity Capture-MS	Gavin AC et al	11805826
YNR035C	YJR065C	ARC35	ARP3	Affinity Capture-MS	Gavin AC et al	11805826
YJR065C	YNR035C	ARP3	ARC35	Affinity Capture-MS	Gavin AC et al	11805826
YBR234C	YIL062C	ARC40	ARC15	Affinity Capture-MS	Gavin AC et al	11805826
YBR234C	YLR370C	ARC40	ARC18	Affinity Capture-MS	Gavin AC et al	11805826
YBR234C	YKL013C	ARC40	ARC19	Affinity Capture-MS	Gavin AC et al	11805826
YBR234C	YJR065C	ARC40	ARP3	Affinity Capture-MS	Gavin AC et al	11805826
YHR013C	YMR116C	ARD1	ASC1	Affinity Capture-MS	Gavin AC et al	11805826
YHR013C	YGR254W	ARD1	ENO1	Affinity Capture-MS	Gavin AC et al	11805826
YHR013C	YBR084W	ARD1	MIS1	Affinity Capture-MS	Gavin AC et al	11805826
YHR013C	YHR023W	ARD1	MYO1	Affinity Capture-MS	Gavin AC et al	11805826
YHR013C	YDL040C	ARD1	NAT1	Affinity Capture-MS	Gavin AC et al	11805826
YDL040C	YHR013C	NAT1	ARD1	Affinity Capture-MS	Gavin AC et al	11805826
YHR013C	YGR090W	ARD1	UTP22	Affinity Capture-MS	Gavin AC et al	11805826
YDR127W	YJL008C	ARO1	CCT8	Affinity Capture-MS	Gavin AC et al	11805826
YDR127W	YKL104C	ARO1	GFA1	Affinity Capture-MS	Gavin AC et al	11805826
YDR127W	YMR186W	ARO1	HSC82	Affinity Capture-MS	Gavin AC et al	11805826
YDR127W	YOR136W	ARO1	IDH2	Affinity Capture-MS	Gavin AC et al	11805826
YDR127W	YGR240C	ARO1	PFK1	Affinity Capture-MS	Gavin AC et al	11805826
YDR127W	YDR427W	ARO1	RPN9	Affinity Capture-MS	Gavin AC et al	11805826
YDR127W	YGL048C	ARO1	RPT6	Affinity Capture-MS	Gavin AC et al	11805826
YDR127W	YPL235W	ARO1	RVB2	Affinity Capture-MS	Gavin AC et al	11805826
YDR127W	YGR234W	ARO1	YHB1	Affinity Capture-MS	Gavin AC et al	11805826
YDL029W	YIL062C	ARP2	ARC15	Affinity Capture-MS	Gavin AC et al	11805826
YDL029W	YKL013C	ARP2	ARC19	Affinity Capture-MS	Gavin AC et al	11805826
YDL029W	YBR234C	ARP2	ARC40	Affinity Capture-MS	Gavin AC et al	11805826
YDL029W	YJR065C	ARP2	ARP3	Affinity Capture-MS	Gavin AC et al	11805826
YJR065C	YDL029W	ARP3	ARP2	Affinity Capture-MS	Gavin AC et al	11805826
YDL029W	YJR064W	ARP2	CCT5	Affinity Capture-MS	Gavin AC et al	11805826
YDL029W	YJL008C	ARP2	CCT8	Affinity Capture-MS	Gavin AC et al	11805826
YJR065C	YKL013C	ARP3	ARC19	Affinity Capture-MS	Gavin AC et al	11805826
YJR065C	YNR053C	ARP3	NOG2	Affinity Capture-MS	Gavin AC et al	11805826
YJL115W	YJR140C	ASF1	HIR3	Affinity Capture-MS	Gavin AC et al	11805826
YJL115W	YIL070C	ASF1	MAM33	Affinity Capture-MS	Gavin AC et al	11805826
YJL115W	YPL153C	ASF1	RAD53	Affinity Capture-MS	Gavin AC et al	11805826
YJL115W	YJL026W	ASF1	RNR2	Affinity Capture-MS	Gavin AC et al	11805826
YJL115W	YGR180C	ASF1	RNR4	Affinity Capture-MS	Gavin AC et al	11805826
YJR148W	YHR208W	BAT2	BAT1	Affinity Capture-MS	Gavin AC et al	11805826
YDL070W	YLR399C	BDF2	BDF1	Affinity Capture-MS	Gavin AC et al	11805826
YBR200W	YER114C	BEM1	BOI2	Affinity Capture-MS	Gavin AC et al	11805826
YBR200W	YAL041W	BEM1	CDC24	Affinity Capture-MS	Gavin AC et al	11805826
YKR068C	YML077W	BET3	BET5	Affinity Capture-MS	Gavin AC et al	11805826
YKR068C	YLR342W	BET3	FKS1	Affinity Capture-MS	Gavin AC et al	11805826
YKR068C	YDR108W	BET3	GSG1	Affinity Capture-MS	Gavin AC et al	11805826
YKR068C	YGR166W	BET3	KRE11	Affinity Capture-MS	Gavin AC et al	11805826
YKR068C	YDR407C	BET3	TRS120	Affinity Capture-MS	Gavin AC et al	11805826
YKR068C	YMR218C	BET3	TRS130	Affinity Capture-MS	Gavin AC et al	11805826
YKR068C	YBR254C	BET3	TRS20	Affinity Capture-MS	Gavin AC et al	11805826
YBR254C	YKR068C	TRS20	BET3	Affinity Capture-MS	Gavin AC et al	11805826
YKR068C	YDR246W	BET3	TRS23	Affinity Capture-MS	Gavin AC et al	11805826
YKR068C	YDR472W	BET3	TRS31	Affinity Capture-MS	Gavin AC et al	11805826
YKR068C	YOR115C	BET3	TRS33	Affinity Capture-MS	Gavin AC et al	11805826
YJL031C	YPR176C	BET4	BET2	Affinity Capture-MS	Gavin AC et al	11805826
YDR099W	YER177W	BMH2	BMH1	Affinity Capture-MS	Gavin AC et al	11805826
YDR099W	YDR001C	BMH2	NTH1	Affinity Capture-MS	Gavin AC et al	11805826
YDR099W	YBR001C	BMH2	NTH2	Affinity Capture-MS	Gavin AC et al	11805826
YDR099W	YNL267W	BMH2	PIK1	Affinity Capture-MS	Gavin AC et al	11805826
YDR099W	YGL252C	BMH2	RTG2	Affinity Capture-MS	Gavin AC et al	11805826
YDR099W	YAL017W	BMH2	PSK1	Affinity Capture-MS	Gavin AC et al	11805826
YAR014C	YMR116C	BUD14	ASC1	Affinity Capture-MS	Gavin AC et al	11805826
YAR014C	YER155C	BUD14	BEM2	Affinity Capture-MS	Gavin AC et al	11805826
YAR014C	YHR064C	BUD14	SSZ1	Affinity Capture-MS	Gavin AC et al	11805826
YAR014C	YGR285C	BUD14	ZUO1	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YPR016C	BUD20	TIF6	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YER126C	BUD20	NSA2	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YDL051W	BUD20	LHP1	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YKL009W	BUD20	MRT4	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YPL093W	BUD20	NOG1	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YNL002C	BUD20	RLP7	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YGR245C	BUD20	SDA1	Affinity Capture-MS	Gavin AC et al	11805826
YGR245C	YLR074C	SDA1	BUD20	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YCR072C	BUD20	YCR072C	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YDR101C	BUD20	ARX1	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YER006W	BUD20	NUG1	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YGR103W	BUD20	NOP7	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YHR052W	BUD20	CIC1	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YHR085W	BUD20	IPI1	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YHR197W	BUD20	RIX1	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YKR081C	BUD20	RPF2	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YLR106C	BUD20	MDN1	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YNL110C	BUD20	NOP15	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YNL182C	BUD20	IPI3	Affinity Capture-MS	Gavin AC et al	11805826
YLR074C	YNR053C	BUD20	NOG2	Affinity Capture-MS	Gavin AC et al	11805826
YKL007W	YIL034C	CAP1	CAP2	Affinity Capture-MS	Gavin AC et al	11805826
YIL034C	YKL007W	CAP2	CAP1	Affinity Capture-MS	Gavin AC et al	11805826
YKL007W	YER071C	CAP1	YER071C	Affinity Capture-MS	Gavin AC et al	11805826
YKL007W	YIR003W	CAP1	YIR003W	Affinity Capture-MS	Gavin AC et al	11805826
YPL111W	YPL160W	CAR1	CDC60	Affinity Capture-MS	Gavin AC et al	11805826
YPL111W	YKL104C	CAR1	GFA1	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YLR347C	CBC2	KAP95	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YDL087C	CBC2	LUC7	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YPL190C	CBC2	NAB3	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YHR086W	CBC2	NAM8	Affinity Capture-MS	Gavin AC et al	11805826
YHR086W	YPL178W	NAM8	CBC2	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YDR432W	CBC2	NPL3	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YNL251C	CBC2	NRD1	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YML049C	CBC2	RSE1	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YLR275W	CBC2	SMD2	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YIL061C	CBC2	SNP1	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YDR240C	CBC2	SNU56	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YGR013W	CBC2	SNU71	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YNL189W	CBC2	SRP1	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YMR125W	CBC2	STO1	Affinity Capture-MS	Gavin AC et al	11805826
YMR125W	YPL178W	STO1	CBC2	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YGL049C	CBC2	TIF4632	Affinity Capture-MS	Gavin AC et al	11805826
YPL178W	YML117W	CBC2	NAB6	Affinity Capture-MS	Gavin AC et al	11805826
YLR175W	YMR290C	CBF5	HAS1	Affinity Capture-MS	Gavin AC et al	11805826
YLR175W	YCL059C	CBF5	KRR1	Affinity Capture-MS	Gavin AC et al	11805826
YLR175W	YMR309C	CBF5	NIP1	Affinity Capture-MS	Gavin AC et al	11805826
YLR175W	YDL014W	CBF5	NOP1	Affinity Capture-MS	Gavin AC et al	11805826
YLR175W	YPL043W	CBF5	NOP4	Affinity Capture-MS	Gavin AC et al	11805826
YLR175W	YLR197W	CBF5	SIK1	Affinity Capture-MS	Gavin AC et al	11805826
YLR175W	YGR162W	CBF5	TIF4631	Affinity Capture-MS	Gavin AC et al	11805826
YGR162W	YLR175W	TIF4631	CBF5	Affinity Capture-MS	Gavin AC et al	11805826
YLR175W	YGL049C	CBF5	TIF4632	Affinity Capture-MS	Gavin AC et al	11805826
YLR175W	YDR496C	CBF5	PUF6	Affinity Capture-MS	Gavin AC et al	11805826
YLR175W	YAL035W	CBF5	FUN12	Affinity Capture-MS	Gavin AC et al	11805826
YAL035W	YLR175W	FUN12	CBF5	Affinity Capture-MS	Gavin AC et al	11805826
YLR175W	YPL012W	CBF5	RRP12	Affinity Capture-MS	Gavin AC et al	11805826
YER168C	YHR174W	CCA1	ENO2	Affinity Capture-MS	Gavin AC et al	11805826
YPR025C	YPR016C	CCL1	TIF6	Affinity Capture-MS	Gavin AC et al	11805826
YPR025C	YDL108W	CCL1	KIN28	Affinity Capture-MS	Gavin AC et al	11805826
YPR025C	YBR081C	CCL1	SPT7	Affinity Capture-MS	Gavin AC et al	11805826
YPR025C	YDR460W	CCL1	TFB3	Affinity Capture-MS	Gavin AC et al	11805826
YPR025C	YOR173W	CCL1	DCS2	Affinity Capture-MS	Gavin AC et al	11805826
YAL021C	YGR134W	CCR4	CAF130	Affinity Capture-MS	Gavin AC et al	11805826
YAL021C	YNL288W	CCR4	CAF40	Affinity Capture-MS	Gavin AC et al	11805826
YAL021C	YDR188W	CCR4	CCT6	Affinity Capture-MS	Gavin AC et al	11805826
YAL021C	YCR093W	CCR4	CDC39	Affinity Capture-MS	Gavin AC et al	11805826
YCR093W	YAL021C	CDC39	CCR4	Affinity Capture-MS	Gavin AC et al	11805826
YAL021C	YGL195W	CCR4	GCN1	Affinity Capture-MS	Gavin AC et al	11805826
YAL021C	YNR052C	CCR4	POP2	Affinity Capture-MS	Gavin AC et al	11805826
