Bait gene/protein	Hit gene/protein	Bait Standard Name	Hit Standard Name	Experimental System	Source	PubMed ID
YOR349W	YNL148C	CIN1	ALF1	Dosage Lethality	Feierbach B et al	9885248
YAR019C	YBR158W	CDC15	AMN1	Dosage Lethality	Wang Y et al	12628189
YKL022C	YBR158W	CDC16	AMN1	Dosage Lethality	Wang Y et al	12628189
YMR001C	YBR158W	CDC5	AMN1	Dosage Lethality	Wang Y et al	12628189
YMR001C	YBR158W	CDC5	AMN1	Dosage Lethality	Wang Y et al	16079183
YPR119W	YBR158W	CLB2	AMN1	Dosage Lethality	Wang Y et al	12628189
YGR092W	YBR158W	DBF2	AMN1	Dosage Lethality	Wang Y et al	12628189
YGR098C	YBR158W	ESP1	AMN1	Dosage Lethality	Wang Y et al	12628189
YAL024C	YBR158W	LTE1	AMN1	Dosage Lethality	Wang Y et al	12628189
YIL106W	YBR158W	MOB1	AMN1	Dosage Lethality	Wang Y et al	12628189
YDR328C	YBR158W	SKP1	AMN1	Dosage Lethality	Wang Y et al	12628189
YOR195W	YBR158W	SLK19	AMN1	Dosage Lethality	Wang Y et al	12628189
YML064C	YBR158W	TEM1	AMN1	Dosage Lethality	Wang Y et al	12628189
YGL137W	YDL192W	SEC27	ARF1	Dosage Lethality	Duden R et al	7929113
YGL137W	YDL137W	SEC27	ARF2	Dosage Lethality	Duden R et al	7929113
YFL038C	YKR068C	YPT1	BET3	Dosage Lethality	Jones S et al	11102533
YER031C	YKR068C	YPT31	BET3	Dosage Lethality	Jones S et al	11102533
YDL160C	YAL021C	DHH1	CCR4	Dosage Lethality	Maillet L et al	11696541
YEL061C	YGL116W	CIN8	CDC20	Dosage Lethality	Schott EJ et al	9504909
YDL017W	YBR160W	CDC7	CDC28	Dosage Lethality	Ohtoshi A et al	9077449
YFL009W	YJL194W	CDC4	CDC6	Dosage Lethality	Sanchez M et al	10085159
YNL102W	YGL207W	POL1	SPT16	Dosage Lethality	Wittmeyer J et al	9199353
YGL207W	YNL102W	SPT16	POL1	Dosage Lethality	Wittmeyer J et al	9199353
YDL120W	YCR005C	YFH1	CIT2	Dosage Lethality	Chen OS et al	12471153
YFR028C	YNL298W	CDC14	CLA4	Dosage Lethality	Chiroli E et al	12642613
YAR019C	YNL298W	CDC15	CLA4	Dosage Lethality	Chiroli E et al	12642613
YMR001C	YPR119W	CDC5	CLB2	Dosage Lethality	Wang Y et al	12628189
YFR028C	YPR119W	CDC14	CLB2	Dosage Lethality	Yuste-Rojas M et al	10732674
YBR136W	YPR119W	MEC1	CLB2	Dosage Lethality	Yuste-Rojas M et al	10732674
YBL079W	YPR119W	NUP170	CLB2	Dosage Lethality	Yuste-Rojas M et al	10732674
YFR028C	YPR119W	CDC14	CLB2	Dosage Lethality	Jaspersen SL et al	9763445
YAR019C	YPR119W	CDC15	CLB2	Dosage Lethality	Jaspersen SL et al	9763445
YGR092W	YPR119W	DBF2	CLB2	Dosage Lethality	Jaspersen SL et al	9763445
YML064C	YPR119W	TEM1	CLB2	Dosage Lethality	Jaspersen SL et al	9763445
YMR001C	YPR119W	CDC5	CLB2	Dosage Lethality	Charles JF et al	9560342
YLR127C	YPR119W	APC2	CLB2	Dosage Lethality	Kramer KM et al	9430641
YLR079W	YPR119W	SIC1	CLB2	Dosage Lethality	Kramer KM et al	9430641
YNR052C	YPR119W	POP2	CLB2	Dosage Lethality	Liu HY et al	9311989
YAL021C	YPR119W	CCR4	CLB2	Dosage Lethality	Liu HY et al	9311989
YLR079W	YPR119W	SIC1	CLB2	Dosage Lethality	Toyn JH et al	9017392
YDR146C	YPR119W	SWI5	CLB2	Dosage Lethality	Toyn JH et al	9017392
YEL036C	YDL155W	ANP1	CLB3	Dosage Lethality	Funakoshi M et al	11016830
YGL167C	YDL155W	PMR1	CLB3	Dosage Lethality	Funakoshi M et al	11016830
YBR136W	YPR120C	MEC1	CLB5	Dosage Lethality	Vallen EA et al	9927443
YBR136W	YMR199W	MEC1	CLN1	Dosage Lethality	Vallen EA et al	9927443
YBR136W	YMR199W	MEC1	CLN1	Dosage Lethality	Vallen EA et al	7623823
YOL133W	YPL256C	HRT1	CLN2	Dosage Lethality	Seol JH et al	10385629
YOL133W	YPL256C	HRT1	CLN2	Dosage Lethality	Skowyra D et al	10213692
YBR136W	YPL256C	MEC1	CLN2	Dosage Lethality	Vallen EA et al	9927443
YDL132W	YPL256C	CDC53	CLN2	Dosage Lethality	Willems AR et al	8756727
YDL132W	YAL040C	CDC53	CLN3	Dosage Lethality	Willems AR et al	8756727
YPR046W	YMR094W	MCM16	CTF13	Dosage Lethality	Measday V et al	11782448
YDR254W	YMR094W	CHL4	CTF13	Dosage Lethality	Measday V et al	11782448
YDR318W	YMR094W	MCM21	CTF13	Dosage Lethality	Measday V et al	11782448
YLR381W	YMR094W	CTF3	CTF13	Dosage Lethality	Measday V et al	11782448
YOR026W	YMR094W	BUB3	CTF13	Dosage Lethality	Hyland KM et al	10189365
YMR168C	YMR094W	CEP3	CTF13	Dosage Lethality	Hyland KM et al	10189365
YPL018W	YMR094W	CTF19	CTF13	Dosage Lethality	Hyland KM et al	10189365
YGR140W	YMR094W	CBF2	CTF13	Dosage Lethality	Hyland KM et al	10189365
YGR140W	YMR094W	CBF2	CTF13	Dosage Lethality	Kroll ES et al	8722765
YDR254W	YMR094W	CHL4	CTF13	Dosage Lethality	Kroll ES et al	8722765
YPL018W	YMR094W	CTF19	CTF13	Dosage Lethality	Kroll ES et al	8722765
YPR046W	YGR140W	MCM16	CBF2	Dosage Lethality	Measday V et al	11782448
YDR254W	YGR140W	CHL4	CBF2	Dosage Lethality	Measday V et al	11782448
YDR318W	YGR140W	MCM21	CBF2	Dosage Lethality	Measday V et al	11782448
YDL003W	YGR140W	MCD1	CBF2	Dosage Lethality	Measday V et al	11782448
YFL008W	YGR140W	SMC1	CBF2	Dosage Lethality	Measday V et al	11782448
YLR381W	YGR140W	CTF3	CBF2	Dosage Lethality	Measday V et al	11782448
YNL102W	YMR078C	POL1	CTF18	Dosage Lethality	Hanna JS et al	11287619
YDL102W	YMR078C	CDC2	CTF18	Dosage Lethality	Hanna JS et al	11287619
YLR274W	YMR078C	CDC46	CTF18	Dosage Lethality	Hanna JS et al	11287619
YDL017W	YMR078C	CDC7	CTF18	Dosage Lethality	Hanna JS et al	11287619
YNL216W	YMR078C	RAP1	CTF18	Dosage Lethality	Hanna JS et al	11287619
YGR188C	YPL018W	BUB1	CTF19	Dosage Lethality	Hyland KM et al	10189365
YOR026W	YPL018W	BUB3	CTF19	Dosage Lethality	Hyland KM et al	10189365
YGR140W	YPL018W	CBF2	CTF19	Dosage Lethality	Hyland KM et al	10189365
YGL207W	YPR135W	SPT16	CTF4	Dosage Lethality	Wittmeyer J et al	9199353
YNL172W	YDR052C	APC1	DBF4	Dosage Lethality	Nougarede R et al	10805723
YDL017W	YDR052C	CDC7	DBF4	Dosage Lethality	Nougarede R et al	10805723
YLR378C	YOL013C	SEC61	HRD1	Dosage Lethality	Bordallo J et al	9437001
YKL108W	YJL090C	SLD2	DPB11	Dosage Lethality	Masumoto H et al	11807498
