Bait gene/protein	Hit gene/protein	Bait Standard Name	Hit Standard Name	Experimental System	Source	PubMed ID
YLR418C	YOL012C	CDC73	HTZ1	Synthetic Growth Defect	Krogan NJ et al	14690608
YGL043W	YOL012C	DST1	HTZ1	Synthetic Growth Defect	Krogan NJ et al	14690608
YER173W	YMR078C	RAD24	CTF18	Synthetic Growth Defect	Bellaoui M et al	12912927
YER173W	YOR144C	RAD24	ELG1	Synthetic Growth Defect	Bellaoui M et al	12912927
YJL168C	YOL012C	SET2	HTZ1	Synthetic Growth Defect	Krogan NJ et al	14690608
YJL168C	YER164W	SET2	CHD1	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YBR258C	SET2	SHG1	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YDR469W	SET2	SDC1	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YBR175W	SET2	SWD3	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YPL138C	SET2	SPP1	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YAR003W	SET2	SWD1	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YLR015W	SET2	BRE2	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YGL194C	SET2	HOS2	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YOL068C	SET2	HST1	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YOR123C	SET2	LEO1	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YKR029C	SET2	SET3	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YBR103W	SET2	SIF2	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YCR033W	SET2	SNT1	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YDR155C	SET2	CPR1	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL168C	YIL112W	SET2	HOS4	Synthetic Growth Defect	Krogan NJ et al	12773564
YJL115W	YLR085C	ASF1	ARP6	Synthetic Lethality	Krogan NJ et al	14690608
YJL115W	YOL012C	ASF1	HTZ1	Synthetic Lethality	Krogan NJ et al	14690608
YJL115W	YNL107W	ASF1	YAF9	Synthetic Lethality	Krogan NJ et al	14690608
YJL115W	YBR231C	ASF1	SWC5	Synthetic Lethality	Krogan NJ et al	14690608
YJL115W	YDR485C	ASF1	VPS72	Synthetic Lethality	Krogan NJ et al	14690608
YJL115W	YML041C	ASF1	VPS71	Synthetic Lethality	Krogan NJ et al	14690608
YNL271C	YJL187C	BNI1	SWE1	Synthetic Lethality	Goehring AS et al	12686605
YDL074C	YLR085C	BRE1	ARP6	Synthetic Lethality	Krogan NJ et al	14690608
YLR085C	YDL074C	ARP6	BRE1	Synthetic Lethality	Krogan NJ et al	14690608
YDL074C	YLR085C	BRE1	ARP6	Synthetic Lethality	Krogan NJ et al	15353583
YLR085C	YDL074C	ARP6	BRE1	Synthetic Lethality	Krogan NJ et al	15353583
YDL074C	YOL012C	BRE1	HTZ1	Synthetic Lethality	Krogan NJ et al	14690608
YOL012C	YDL074C	HTZ1	BRE1	Synthetic Lethality	Krogan NJ et al	14690608
YDL074C	YOL012C	BRE1	HTZ1	Synthetic Lethality	Krogan NJ et al	15353583
YOL012C	YDL074C	HTZ1	BRE1	Synthetic Lethality	Krogan NJ et al	15353583
YDL074C	YOL130W	BRE1	ALR1	Synthetic Lethality	Krogan NJ et al	14690608
YDL074C	YDR334W	BRE1	SWR1	Synthetic Lethality	Krogan NJ et al	14690608
YDR334W	YDL074C	SWR1	BRE1	Synthetic Lethality	Krogan NJ et al	14690608
YDL074C	YDR334W	BRE1	SWR1	Synthetic Lethality	Krogan NJ et al	15353583
YDR334W	YDL074C	SWR1	BRE1	Synthetic Lethality	Krogan NJ et al	15353583
YDL074C	YNL107W	BRE1	YAF9	Synthetic Lethality	Krogan NJ et al	14690608
YDL074C	YBR231C	BRE1	SWC5	Synthetic Lethality	Krogan NJ et al	14690608
YBR231C	YDL074C	SWC5	BRE1	Synthetic Lethality	Krogan NJ et al	14690608
YDL074C	YBR231C	BRE1	SWC5	Synthetic Lethality	Krogan NJ et al	15353583
YBR231C	YDL074C	SWC5	BRE1	Synthetic Lethality	Krogan NJ et al	15353583
YDL074C	YDR485C	BRE1	VPS72	Synthetic Lethality	Krogan NJ et al	14690608
YDR485C	YDL074C	VPS72	BRE1	Synthetic Lethality	Krogan NJ et al	14690608
YDL074C	YDR485C	BRE1	VPS72	Synthetic Lethality	Krogan NJ et al	15353583
YDR485C	YDL074C	VPS72	BRE1	Synthetic Lethality	Krogan NJ et al	15353583
YDL074C	YML041C	BRE1	VPS71	Synthetic Lethality	Krogan NJ et al	14690608
YML041C	YDL074C	VPS71	BRE1	Synthetic Lethality	Krogan NJ et al	14690608
YDL074C	YML041C	BRE1	VPS71	Synthetic Lethality	Krogan NJ et al	15353583
YML041C	YDL074C	VPS71	BRE1	Synthetic Lethality	Krogan NJ et al	15353583
YLR015W	YOL012C	BRE2	HTZ1	Synthetic Lethality	Krogan NJ et al	14690608
YOL012C	YLR015W	HTZ1	BRE2	Synthetic Lethality	Krogan NJ et al	14690608
YLR015W	YOL012C	BRE2	HTZ1	Synthetic Lethality	Krogan NJ et al	15353583
YOL012C	YLR015W	HTZ1	BRE2	Synthetic Lethality	Krogan NJ et al	15353583
YLR015W	YOL130W	BRE2	ALR1	Synthetic Lethality	Krogan NJ et al	14690608
YLR015W	YDR334W	BRE2	SWR1	Synthetic Lethality	Krogan NJ et al	14690608
YDR334W	YLR015W	SWR1	BRE2	Synthetic Lethality	Krogan NJ et al	14690608
YLR015W	YDR334W	BRE2	SWR1	Synthetic Lethality	Krogan NJ et al	15353583
YDR334W	YLR015W	SWR1	BRE2	Synthetic Lethality	Krogan NJ et al	15353583
YLR015W	YNL107W	BRE2	YAF9	Synthetic Lethality	Krogan NJ et al	14690608
YLR015W	YBR231C	BRE2	SWC5	Synthetic Lethality	Krogan NJ et al	14690608
YBR231C	YLR015W	SWC5	BRE2	Synthetic Lethality	Krogan NJ et al	14690608
YLR015W	YBR231C	BRE2	SWC5	Synthetic Lethality	Krogan NJ et al	15353583
YBR231C	YLR015W	SWC5	BRE2	Synthetic Lethality	Krogan NJ et al	15353583
YLR015W	YDR485C	BRE2	VPS72	Synthetic Lethality	Krogan NJ et al	14690608
YDR485C	YLR015W	VPS72	BRE2	Synthetic Lethality	Krogan NJ et al	14690608
YLR015W	YDR485C	BRE2	VPS72	Synthetic Lethality	Krogan NJ et al	15353583
YDR485C	YLR015W	VPS72	BRE2	Synthetic Lethality	Krogan NJ et al	15353583
YLR015W	YML041C	BRE2	VPS71	Synthetic Lethality	Krogan NJ et al	14690608
YML041C	YLR015W	VPS71	BRE2	Synthetic Lethality	Krogan NJ et al	14690608
YLR015W	YML041C	BRE2	VPS71	Synthetic Lethality	Krogan NJ et al	15353583
YML041C	YLR015W	VPS71	BRE2	Synthetic Lethality	Krogan NJ et al	15353583
YNR051C	YLR085C	BRE5	ARP6	Synthetic Lethality	Krogan NJ et al	14690608
YNR051C	YOL012C	BRE5	HTZ1	Synthetic Lethality	Krogan NJ et al	14690608
YNR051C	YOL130W	BRE5	ALR1	Synthetic Lethality	Krogan NJ et al	14690608
YNR051C	YDR334W	BRE5	SWR1	Synthetic Lethality	Krogan NJ et al	14690608
YNR051C	YNL107W	BRE5	YAF9	Synthetic Lethality	Krogan NJ et al	14690608
YNR051C	YBR231C	BRE5	SWC5	Synthetic Lethality	Krogan NJ et al	14690608
YNR051C	YDR485C	BRE5	VPS72	Synthetic Lethality	Krogan NJ et al	14690608
YNR051C	YML041C	BRE5	VPS71	Synthetic Lethality	Krogan NJ et al	14690608
YOR026W	YLR085C	BUB3	ARP6	Synthetic Lethality	Krogan NJ et al	14690608
YLR085C	YOR026W	ARP6	BUB3	Synthetic Lethality	Krogan NJ et al	14690608
YOR026W	YLR085C	BUB3	ARP6	Synthetic Lethality	Krogan NJ et al	15353583
YLR085C	YOR026W	ARP6	BUB3	Synthetic Lethality	Krogan NJ et al	15353583
YOR026W	YOL012C	BUB3	HTZ1	Synthetic Lethality	Krogan NJ et al	14690608
YOR026W	YOL130W	BUB3	ALR1	Synthetic Lethality	Krogan NJ et al	14690608
YOR026W	YDR334W	BUB3	SWR1	Synthetic Lethality	Krogan NJ et al	14690608
YDR334W	YOR026W	SWR1	BUB3	Synthetic Lethality	Krogan NJ et al	14690608
YOR026W	YDR334W	BUB3	SWR1	Synthetic Lethality	Krogan NJ et al	15353583
YDR334W	YOR026W	SWR1	BUB3	Synthetic Lethality	Krogan NJ et al	15353583
YOR026W	YNL107W	BUB3	YAF9	Synthetic Lethality	Krogan NJ et al	14690608
YOR026W	YDR485C	BUB3	VPS72	Synthetic Lethality	Krogan NJ et al	14690608
YDR485C	YOR026W	VPS72	BUB3	Synthetic Lethality	Krogan NJ et al	14690608
YOR026W	YDR485C	BUB3	VPS72	Synthetic Lethality	Krogan NJ et al	15353583
YDR485C	YOR026W	VPS72	BUB3	Synthetic Lethality	Krogan NJ et al	15353583
YOR026W	YML041C	BUB3	VPS71	Synthetic Lethality	Krogan NJ et al	14690608
YML041C	YOR026W	VPS71	BUB3	Synthetic Lethality	Krogan NJ et al	14690608
YOR026W	YML041C	BUB3	VPS71	Synthetic Lethality	Krogan NJ et al	15353583
YML041C	YOR026W	VPS71	BUB3	Synthetic Lethality	Krogan NJ et al	15353583
YLR319C	YJL187C	BUD6	SWE1	Synthetic Lethality	Goehring AS et al	12686605
YAL021C	YLR085C	CCR4	ARP6	Synthetic Lethality	Krogan NJ et al	14690608
YAL021C	YOL130W	CCR4	ALR1	Synthetic Lethality	Krogan NJ et al	14690608
YAL021C	YDR334W	CCR4	SWR1	Synthetic Lethality	Krogan NJ et al	14690608
YAL021C	YBR231C	CCR4	SWC5	Synthetic Lethality	Krogan NJ et al	14690608
YAL021C	YDR485C	CCR4	VPS72	Synthetic Lethality	Krogan NJ et al	14690608
YAL021C	YML041C	CCR4	VPS71	Synthetic Lethality	Krogan NJ et al	14690608
YLR229C	YBR200W	CDC42	BEM1	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YPL161C	CDC42	BEM4	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YNL271C	CDC42	BNI1	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YLR319C	CDC42	BUD6	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YKL007W	CDC42	CAP1	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YIL034C	CDC42	CAP2	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YNL298W	CDC42	CLA4	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YGR200C	CDC42	ELP2	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YPL086C	CDC42	ELP3	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YPL101W	CDC42	ELP4	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YMR312W	CDC42	ELP6	Synthetic Lethality	Kozminski KG et al	12960420
